,TM,cju_people,cju_congest,Origin
0,2018100106,458,N,力林傍亲
1,2018100107,616,N,力林傍亲
2,2018100108,2289,N,力林傍亲
3,2018100109,2189,N,力林傍亲
4,2018100110,1160,N,力林傍亲
5,2018100111,1323,N,力林傍亲
6,2018100112,981,N,力林傍亲
7,2018100113,2358,N,力林傍亲
8,2018100114,1286,N,力林傍亲
9,2018100115,1631,N,力林傍亲
10,2018100116,1533,N,力林傍亲
11,2018100117,2197,N,力林傍亲
12,2018100118,1234,N,力林傍亲
13,2018100119,1741,N,力林傍亲
14,2018100120,1416,N,力林傍亲
15,2018100121,1310,N,力林傍亲
16,2018100206,356,N,力林傍亲
17,2018100207,542,N,力林傍亲
18,2018100208,1635,N,力林傍亲
19,2018100209,1813,N,力林傍亲
20,2018100210,1386,N,力林傍亲
21,2018100211,1379,N,力林傍亲
22,2018100212,1121,N,力林傍亲
23,2018100213,2382,N,力林傍亲
24,2018100214,1290,N,力林傍亲
25,2018100215,1585,N,力林傍亲
26,2018100216,2022,N,力林傍亲
27,2018100217,2042,N,力林傍亲
28,2018100218,1338,N,力林傍亲
29,2018100219,2311,N,力林傍亲
30,2018100220,2169,N,力林傍亲
31,2018100221,1446,N,力林傍亲
32,2018100306,205,N,力林傍亲
33,2018100307,542,N,力林傍亲
34,2018100308,2351,N,力林傍亲
35,2018100309,2234,N,力林傍亲
36,2018100310,1449,N,力林傍亲
37,2018100311,1494,N,力林傍亲
38,2018100312,1381,N,力林傍亲
39,2018100313,2425,N,力林傍亲
40,2018100314,1446,N,力林傍亲
41,2018100315,2059,N,力林傍亲
42,2018100316,2010,N,力林傍亲
43,2018100317,2374,N,力林傍亲
44,2018100318,1454,N,力林傍亲
45,2018100319,2056,N,力林傍亲
46,2018100320,1657,N,力林傍亲
47,2018100321,1760,N,力林傍亲
48,2018100406,350,N,力林傍亲
49,2018100407,585,N,力林傍亲
50,2018100408,2017,N,力林傍亲
51,2018100409,2135,N,力林傍亲
52,2018100410,1579,N,力林傍亲
53,2018100411,1177,N,力林傍亲
54,2018100412,1308,N,力林傍亲
55,2018100413,2316,N,力林傍亲
56,2018100414,1330,N,力林傍亲
57,2018100415,1428,N,力林傍亲
58,2018100416,1703,N,力林傍亲
59,2018100417,2239,N,力林傍亲
60,2018100418,1411,N,力林傍亲
61,2018100419,1949,N,力林傍亲
62,2018100420,1805,N,力林傍亲
63,2018100421,1289,N,力林傍亲
64,2018100506,253,N,力林傍亲
65,2018100507,503,N,力林傍亲
66,2018100508,1932,N,力林傍亲
67,2018100509,2143,N,力林傍亲
68,2018100510,1745,N,力林傍亲
69,2018100511,1551,N,力林傍亲
70,2018100512,1394,N,力林傍亲
71,2018100513,2456,N,力林傍亲
72,2018100514,1680,N,力林傍亲
73,2018100515,1985,N,力林傍亲
74,2018100516,1994,N,力林傍亲
75,2018100517,2254,N,力林傍亲
76,2018100518,1676,N,力林傍亲
77,2018100519,1859,N,力林傍亲
78,2018100520,2291,N,力林傍亲
79,2018100521,1484,N,力林傍亲
80,2018100607,115,N,力林傍亲
81,2018100608,429,N,力林傍亲
82,2018100609,495,N,力林傍亲
83,2018100610,238,N,力林傍亲
84,2018100611,398,N,力林傍亲
85,2018100612,780,N,力林傍亲
86,2018100613,1534,N,力林傍亲
87,2018100614,496,N,力林傍亲
88,2018100615,937,N,力林傍亲
89,2018100616,1003,N,力林傍亲
90,2018100617,1385,N,力林傍亲
91,2018100618,862,N,力林傍亲
92,2018100619,1430,N,力林傍亲
93,2018100620,888,N,力林傍亲
94,2018100621,1005,N,力林傍亲
95,2018100622,189,N,力林傍亲
96,2018100706,264,N,力林傍亲
97,2018100707,512,N,力林傍亲
98,2018100708,2419,N,力林傍亲
99,2018100709,2470,N,力林傍亲
100,2018100710,1438,N,力林傍亲
101,2018100711,1754,N,力林傍亲
102,2018100712,1146,N,力林傍亲
103,2018100713,2049,N,力林傍亲
104,2018100714,1311,N,力林傍亲
105,2018100715,1178,N,力林傍亲
106,2018100716,1375,N,力林傍亲
107,2018100717,1444,N,力林傍亲
108,2018100718,910,N,力林傍亲
109,2018100719,1373,N,力林傍亲
110,2018100720,1153,N,力林傍亲
111,2018100721,1179,N,力林傍亲
112,2018100806,231,N,力林傍亲
113,2018100807,482,N,力林傍亲
114,2018100808,1887,N,力林傍亲
115,2018100809,1672,N,力林傍亲
116,2018100810,1157,N,力林傍亲
117,2018100811,1414,N,力林傍亲
118,2018100812,855,N,力林傍亲
119,2018100813,2043,N,力林傍亲
120,2018100814,933,N,力林傍亲
121,2018100815,1306,N,力林傍亲
122,2018100816,1295,N,力林傍亲
123,2018100817,1840,N,力林傍亲
124,2018100818,1034,N,力林傍亲
125,2018100819,1744,N,力林傍亲
126,2018100820,1861,N,力林傍亲
127,2018100821,1342,N,力林傍亲
128,2018100906,238,N,力林傍亲
129,2018100907,534,N,力林傍亲
130,2018100908,2130,N,力林傍亲
131,2018100909,2286,N,力林傍亲
132,2018100910,1721,N,力林傍亲
133,2018100911,2721,Y,力林傍亲
134,2018100912,1809,N,力林傍亲
135,2018100913,3307,Y,力林傍亲
136,2018100914,1736,N,力林傍亲
137,2018100915,2280,N,力林傍亲
138,2018100916,2874,Y,力林傍亲
139,2018100917,2476,N,力林傍亲
140,2018100918,1788,N,力林傍亲
141,2018100919,3059,Y,力林傍亲
142,2018100920,2998,Y,力林傍亲
143,2018100921,1735,N,力林傍亲
144,2018101006,522,N,力林傍亲
145,2018101007,778,N,力林傍亲
146,2018101008,3128,Y,力林傍亲
147,2018101009,2951,Y,力林傍亲
148,2018101010,1983,N,力林傍亲
149,2018101011,2320,N,力林傍亲
150,2018101012,1801,N,力林傍亲
151,2018101013,2782,Y,力林傍亲
152,2018101014,1750,N,力林傍亲
153,2018101015,2198,N,力林傍亲
154,2018101016,2145,N,力林傍亲
155,2018101017,2538,Y,力林傍亲
