"TM","WD","WSPD","WS_GST","VIS","RVR1","RVR2","RVR3","RVR4","WC","TMP","TD","PS","PA","RN","HM","CA_TOT","CLA_1LYR","BASE_1LYR","CLF_1LYR","CLA_2LYR","BASE_2LYR","CLF_2LYR","CLA_3LYR","BASE_3LYR","CLF_3LYR","CLA_4LYR","BASE_4LYR","CLF_4LYR"
"2019053124","9","4","","1000","","","","","","158","137","10122","10090","","88","4","4","200","0","","","","","","","","",""
"2019060101","10","3","","1000","","","","","","159","139","10120","10088","","88","6","2","12","7","4","30","6","6","110","4","","",""
"2019060102","26","1","","1000","","","","","","157","135","10126","10094","","87","6","4","16","7","6","200","0","","","","","",""
"2019060103","10","3","","1000","","","","","","155","128","10120","10088","","84","7","5","17","7","7","200","0","","","","","",""
"2019060104","9","3","","800","","","","","10","145","126","10117","10085","","88","7","1","15","7","7","200","0","","","","","",""
"2019060105","12","4","","900","","","","","10","150","132","10113","10081","","89","6","6","200","0","","","","","","","","",""
"2019060106","1","2","","1000","","","","","","148","129","10114","10082","","88","7","7","200","0","","","","","","","","",""
"2019060107","21","1","","1000","","","","","","158","138","10118","10086","","88","6","6","200","0","","","","","","","","",""
"2019060108","3","3","","1000","","","","","","177","144","10116","10084","","81","5","5","200","0","","","","","","","","",""
"2019060109","7","6","","1000","","","","","","201","134","10113","10082","","65","7","7","200","0","","","","","","","","",""
"2019060110","4","7","","1000","","","","","","204","132","10111","10080","","64","6","6","200","0","","","","","","","","",""
"2019060111","3","7","","1000","","","","","","203","146","10112","10081","","70","1","1","200","1","","","","","","","","",""
"2019060112","1","5","","1000","","","","","","198","144","10112","10081","","71","3","3","200","0","","","","","","","","",""
"2019060113","36","5","","1000","","","","","","200","146","10108","10077","","71","5","5","200","0","","","","","","","","",""
"2019060114","33","6","","1000","","","","","","203","156","10104","10073","","74","7","2","150","3","7","200","0","","","","","",""
"2019060115","32","6","","1000","","","","","","203","159","10108","10077","","76","7","7","200","0","","","","","","","","",""
"2019060116","33","6","","1000","","","","","","198","157","10108","10077","","77","7","7","180","0","","","","","","","","",""
"2019060117","1","4","","1000","","","","","","200","152","10102","10071","","74","5","2","150","3","5","180","0","","","","","",""
"2019060118","1","4","","1000","","","","","","191","156","10095","10064","","80","6","4","150","3","6","200","0","","","","","",""
"2019060119","3","4","","1000","","","","","","187","158","10099","10067","","83","6","6","150","3","","","","","","","","",""
"2019060120","35","2","","1000","","","","","","184","156","10100","10068","","84","7","4","150","3","7","200","0","","","","","",""
