,TM,gmp_people,gmp_congest,Origin
0,2018100106,2195,Y,김포공항
1,2018100107,2105,Y,김포공항
2,2018100108,1362,N,김포공항
3,2018100109,1769,N,김포공항
4,2018100110,1342,N,김포공항
5,2018100111,1671,N,김포공항
6,2018100112,1239,N,김포공항
7,2018100113,1282,N,김포공항
8,2018100114,1941,N,김포공항
9,2018100115,1621,N,김포공항
10,2018100116,825,N,김포공항
11,2018100117,761,N,김포공항
12,2018100118,1397,N,김포공항
13,2018100119,1244,N,김포공항
14,2018100120,398,N,김포공항
15,2018100121,168,N,김포공항
16,2018100206,1838,N,김포공항
17,2018100207,1756,N,김포공항
18,2018100208,1421,N,김포공항
19,2018100209,1501,N,김포공항
20,2018100210,1371,N,김포공항
21,2018100211,1479,N,김포공항
22,2018100212,1084,N,김포공항
23,2018100213,1006,N,김포공항
24,2018100214,1837,N,김포공항
25,2018100215,1708,N,김포공항
26,2018100216,857,N,김포공항
27,2018100217,1226,N,김포공항
28,2018100218,2063,Y,김포공항
29,2018100219,1627,N,김포공항
30,2018100220,599,N,김포공항
31,2018100221,292,N,김포공항
32,2018100306,2106,Y,김포공항
33,2018100307,1869,N,김포공항
34,2018100308,1358,N,김포공항
35,2018100309,1745,N,김포공항
36,2018100310,1393,N,김포공항
37,2018100311,1446,N,김포공항
38,2018100312,1325,N,김포공항
39,2018100313,1374,N,김포공항
40,2018100314,2043,Y,김포공항
41,2018100315,1523,N,김포공항
42,2018100316,923,N,김포공항
43,2018100317,795,N,김포공항
44,2018100318,1618,N,김포공항
45,2018100319,1294,N,김포공항
46,2018100320,408,N,김포공항
47,2018100321,176,N,김포공항
48,2018100406,1715,N,김포공항
49,2018100407,1933,N,김포공항
50,2018100408,1365,N,김포공항
51,2018100409,1732,N,김포공항
52,2018100410,1390,N,김포공항
53,2018100411,1472,N,김포공항
54,2018100412,1077,N,김포공항
55,2018100413,1082,N,김포공항
56,2018100414,1872,N,김포공항
57,2018100415,1479,N,김포공항
58,2018100416,1072,N,김포공항
59,2018100417,1268,N,김포공항
60,2018100418,1758,N,김포공항
61,2018100419,1289,N,김포공항
62,2018100420,655,N,김포공항
63,2018100421,270,N,김포공항
64,2018100506,1569,N,김포공항
65,2018100507,1049,N,김포공항
66,2018100508,944,N,김포공항
67,2018100509,1436,N,김포공항
68,2018100510,1009,N,김포공항
69,2018100511,1074,N,김포공항
70,2018100512,949,N,김포공항
71,2018100513,1226,N,김포공항
72,2018100514,1310,N,김포공항
73,2018100515,1609,N,김포공항
74,2018100516,1439,N,김포공항
75,2018100517,1191,N,김포공항
76,2018100518,2691,Y,김포공항
77,2018100519,2035,Y,김포공항
78,2018100520,396,N,김포공항
79,2018100521,588,N,김포공항
80,2018100606,984,N,김포공항
81,2018100607,1257,N,김포공항
82,2018100608,827,N,김포공항
83,2018100609,1361,N,김포공항
84,2018100610,1423,N,김포공항
85,2018100611,1809,N,김포공항
86,2018100612,1194,N,김포공항
87,2018100613,1646,N,김포공항
88,2018100614,2561,Y,김포공항
89,2018100615,2193,Y,김포공항
90,2018100616,1262,N,김포공항
91,2018100617,1782,N,김포공항
